啊 kbsk
阿 bskg
埃 fctd
挨 rctd
哎 kary
唉 kctd
哀 yeu
皑 rmnn
癌 ukkm
蔼 ayjn
矮 tdtv
艾 aru
碍 djgf
爱 epdc
隘 buwl
鞍 afpv
氨 rpvd
安 pvf
俺 wdjn
按 rpvg
暗 jujg
岸 mdfj
胺 epvg
案 pvsu
肮 eywn
昂 jqbj
盎 mdlf
凹 hnhg
敖 gqty
熬 gqto
翱 rdfn
袄 putd
傲 wgqt
奥 tmod
懊 ntmd
澳 itmd
芭 acb
捌 rkej
扒 rwy
叭 kwy
吧 kcn
笆 tcb
八 wty
疤 ucv
巴 cnhn
拔 rdcy
跋 khdy
靶 afcn
把 rcn
耙 fscn
坝 fmy
霸 fafe
罢 lfcu
爸 wrcb
白 rrrr
柏 srg
百 djf
摆 rlfc
佰 wdjg
败 mty
拜 rdfh
稗 trtf
斑 gygg
班 gytg
搬 rtuc
扳 rrcy
般 tuwc
颁 wvdm
板 srcy
版 thgc
扮 rwvt
拌 rugh
伴 wugh
瓣 urcu
半 ugk
办 ewi
绊 xugh
邦 dtbh
帮 dtbh
梆 sdtb
榜 syuy
膀 eyuy
绑 xdtb
棒 sdwg
磅 dyuy
蚌 jdhh
镑 qyuy
傍 wyuy
谤 yyuy
苞 aqnb
胞 eqnn
包 qnv
褒 ywke
剥 vijh
薄 aisf
雹 fqnb
保 wksy
堡 wksf
饱 qnqn
宝 pgyu
抱 rqnn
报 rbcy
暴 jawi
豹 eqyy
鲍 qgqn
爆 ojai
杯 sdhy
碑 drtf
悲 hdhn
卑 rtfj
北 uxn
辈 hdhl
背 uxef
贝 mhny
钡 qmy
倍 wukg
狈 qtmy
备 tlf
惫 tlnu
焙 oukg
被 puby
奔 dfaj
苯 asgf
本 sgd
笨 tsgf
崩 meef
绷 xeeg
甭 dhej
泵 diu
蹦 khme
迸 uapk
逼 gklp
鼻 thlj
比 xxn
鄙 kflb
笔 teb
彼 tby
碧 grdf
蓖 atlx
蔽 aitu
毕 xxfj
毙 xxgx
毖 xxnt
币 tmhk
庇 oxxv
痹 ulgj
闭 ufte
敝 ity
弊 itaj
必 nte
辟 nkuh
壁 nkuf
臂 nkue
避 nkup
陛 bxxf
鞭 afwr
边 epe
编 xyna
贬 mtpy
扁 ynma
便 wgjr
变 yocu
卞 yhu
辨 uytu
辩 uyuh
辫 uxuh
遍 ynmp
标 sfiy
彪 hwee
膘 esfi
表 geu
鳖 itqg
憋 itnu
别 kejh
瘪 uthx
彬 sset
斌 ygay
濒 ihhm
滨 iprw
宾 prwu
摈 rprw
兵 rwu
冰 uiy
柄 sgmw
丙 gmwi
秉 tvd
饼 qnua
炳 ogmw
病 ugmw
并 uaj
玻 gby
菠 aibu
播 rtol
拨 rnty
钵 qsgg
波 iby
博 fsfy
勃 fpbe
搏 rsfy
铂 qrg
箔 tirf
伯 wrg
帛 rmhj
舶 turg
脖 efpb
膊 esfy
渤 ifpe
泊 irg
驳 cgrr
捕 rsy
卜 hhy
哺 ksy
补 puhy
埠 ftnf
不 dhi
布 dmhj
步 hhr
簿 tisf
部 ukbh
怖 ndmh
擦 rpwi
猜 qtge
裁 faye
材 sftt
才 fte
财 mftt
睬 hesy
踩 khes
采 esu
彩 eset
菜 aesu
蔡 awfi
餐 hqcv
参 cder
蚕 gdju
残 gqga
惭 nlrh
惨 ncde
灿 omh
苍 awbb
舱 tuwb
仓 wbb
沧 iwbn
藏 aauh
操 rkks
糙 otfp
槽 sgmj
曹 gmaj
草 ajj
厕 dmjk
策 tsmb
侧 wmjh
册 mmgd
测 imjh
层 nfci
蹭 khuj
插 rtfe
叉 cyi
茬 adhf
茶 awsu
查 sjgf
碴 dsjg
搽 raws
察 pwfi
岔 wvmj
差 uaf
诧 ypta
拆 rryy
柴 hxsu
豺 eftt
搀 rqku
掺 rcde
蝉 jujf
馋 qnqu
谗 yqku
缠 xojf
铲 qutt
产 ute
阐 uujf
颤 ylkm
昌 jjf
猖 qtjj
场 fnrt
尝 ipfc
常 ipkh
长 tayi
偿 wipc
肠 enrt
厂 dgt
敞 imkt
畅 jhnr
唱 kjjg
倡 wjjg
超 fhvk
抄 ritt
钞 qitt
朝 fjeg
嘲 kfje
潮 ifje
巢 vjsu
吵 kitt
炒 oitt
车 lgnh
扯 rhg
撤 ryct
掣 tgmr
彻 tavt
澈 iyct
郴 ssbh
臣 ahnh
辰 dfei
尘 iff
晨 jdfe
忱 npqn
沉 ipwn
陈 baiy
趁 fhwe
衬 pufy
撑 ripr
称 tqiy
城 fdnn
橙 swgu
成 dnv
呈 kgf
乘 tuxv
程 tkgg
惩 tghn
澄 iwgu
诚 ydnn
承 bdii
逞 kgpd
骋 cgmn
秤 tguf
吃 ktnn
痴 utdk
持 rffy
匙 jghx
池 ibn
迟 nypi
弛 xbn
驰 cgbn
耻 bhg
齿 hwbj
侈 wqqy
尺 nyi
赤 fou
翅 fcnd
斥 ryi
炽 okwy
充 ycqb
冲 ukhh
虫 jhny
崇 mpfi
宠 pdxy
抽 rmg
酬 sgyh
畴 ldtf
踌 khdf
稠 tmfk
愁 tonu
筹 tdtf
仇 wvn
绸 xmfk
瞅 htoy
丑 nhgg
臭 thdu
初 puvt
出 bmk
橱 sdgf
厨 dgkf
躇 khaj
锄 qege
雏 qvwy
滁 ibws
除 bwgs
楚 ssnh
础 dbmh
储 wyfj
矗 fhfh
搐 ryxl
触 qejy
处 thi
揣 rmdj
川 kthh
穿 pwat
椽 sxey
传 wfny
船 tuwk
喘 kmdj
串 kkhk
疮 uwbv
窗 pwtq
幢 mhuf
床 osi
闯 ucgd
创 wbjh
吹 kqwy
炊 oqwy
捶 rtfa
锤 qtfa
垂 tfad
春 dwjf
椿 sdwj
醇 sgyb
唇 dfek
淳 iybg
纯 xgbn
蠢 dwjj
戳 nwya
绰 xhjh
疵 uhxv
茨 auqw
磁 duxx
雌 hxwy
辞 tduh
